"","Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","People practicing open defecation (% of population)","People using at least basic drinking water services (% of population)","People using at least basic sanitation services (% of population)","People using safely managed drinking water services (% of population)","People using safely managed sanitation services (% of population)","People with basic handwashing facilities including soap and water (% of population)","Population density (people per sq. km of land area)","Population, total","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
"75","South-East Asia Region",2008,0.16,21.97,0.73,7.66,33.7769470155714,16.5508291806667,87.580163684,62.0158044766667,41.3835308414286,31.5156678133333,NA,347.257476024545,162546612.454545,114.1467424755
"76","South-East Asia Region",2009,0.16,22.06,0.71,7.47,33.0840712161429,15.4252831663333,88.119348088,63.6058586188889,41.7459217685714,32.47468253,NA,353.281481559091,164664443.727273,171.4472379195
"77","South-East Asia Region",2010,0.15,22.06,0.7,7.17,32.3911954171429,14.3092576234444,88.655378203,65.2025077655556,42.1115051528571,33.4281212716667,NA,359.376945334545,166813463.454545,511.628663206
"78","South-East Asia Region",2011,0.14,21.98,0.68,6.84,34.276545987,13.2047057581111,89.185584353,66.8040402433333,42.96040267,34.3802147183333,NA,365.601466405455,168952524,121.812939047833
"79","South-East Asia Region",2012,0.13,21.81,0.66,6.53,34.4067945141429,12.1086372863333,89.713003557,68.4122759388889,43.8390038471429,35.3342740083333,NA,371.976092158182,171079250.454545,124.778999532167
"80","South-East Asia Region",2013,0.12,21.62,0.63,6.26,34.5370430427143,11.0213521065556,90.237964858,70.0264773377778,44.4829858785714,36.2909976666667,NA,377.264052217273,173100943.272727,133.3966282815
"81","South-East Asia Region",2014,0.1,21.45,0.59,5.9,34.6672915698571,9.95150045277778,90.760573652,71.6465741611111,45.2356019814286,37.3260777916667,NA,383.728241896364,175113437.363636,143.740990743833
"82","South-East Asia Region",2015,0.1,21.36,0.57,5.55,34.7975400984286,8.98186864466667,91.281008291,73.2683411211111,45.9946875842857,38.3687040233333,NA,390.890367800909,177052696.272727,149.465249945667
"83","South-East Asia Region",2016,0.09,21.39,0.54,5.22,34.9277886255714,8.020577306,91.782875684,74.8848969111111,46.7471727357143,39.4184256833333,NA,397.905930855455,179001950.636364,159.220891735
"84","South-East Asia Region",2017,0.08,21.5,0.52,4.98,34.9277886255714,7.06105608533333,92.255226912,76.4936230444444,47.4843546728571,40.4590791216667,NA,404.755355664545,180907511.090909,170.4367488395
